Temperature,Pressure,CO2,Environment
31.4,1005.3,427.5,Urban
27.2,1012.4,467.7,Urban
33.9,1005.9,442.2,Urban
25.3,1007.2,450.5,Urban
25.3,1007.0,465.0,Urban
30.4,1007.2,458.9,Urban
33.1,1005.1,480.6,Urban
32.0,1008.4,415.5,Urban
34.6,1008.4,409.3,Urban
26.0,1013.5,460.4,Urban
33.1,1012.3,453.6,Urban
34.7,1008.8,455.2,Urban
33.3,1011.2,486.2,Urban
30.8,1012.0,404.6,Urban
27.3,1007.9,408.0,Urban
27.3,1006.0,427.8,Urban
31.4,1008.6,437.0,Urban
27.1,1007.7,493.7,Urban
31.5,1011.1,417.1,Urban
32.3,1006.6,437.9,Urban
34.9,1011.4,455.7,Urban
31.8,1013.4,477.6,Urban
27.3,1005.3,431.5,Urban
27.7,1007.1,494.3,Urban
33.8,1008.1,465.5,Urban
29.0,1014.1,445.9,Urban
27.6,1007.5,456.1,Urban
27.6,1010.8,489.8,Urban
29.0,1007.2,499.8,Urban
30.1,1005.9,404.7,Urban
26.1,1011.3,479.2,Urban
29.2,1005.6,438.2,Urban
35.0,1010.3,497.1,Urban
33.6,1005.1,472.1,Urban
31.8,1010.4,426.7,Urban
31.4,1006.1,443.5,Urban
29.5,1014.5,487.6,Urban
27.6,1010.0,417.9,Urban
34.1,1013.7,429.8,Urban
31.4,1011.1,415.3,Urban
32.6,1010.4,477.9,Urban
30.3,1005.0,432.4,Urban
25.2,1014.3,487.9,Urban
33.3,1008.1,405.8,Urban
33.8,1014.5,408.6,Urban
29.9,1005.7,476.1,Urban
32.7,1006.3,447.5,Urban
30.5,1007.7,487.2,Urban
29.2,1007.1,453.9,Urban
32.3,1007.0,431.2,Urban
25.0,1013.2,391.9,Countryside
20.2,1009.0,381.2,Countryside
18.4,1012.7,381.5,Countryside
17.2,1008.6,401.6,Countryside
17.3,1015.2,413.0,Countryside
15.7,1009.9,403.4,Countryside
17.1,1009.1,416.8,Countryside
20.7,1011.8,409.2,Countryside
23.1,1009.5,374.8,Countryside
