 - : 4904, 3010s, 949.16hPa, 26.29°C, 549.00m; (sol) 
 - : 4905, 3011s, 949.15hPa, 26.29°C, 549.00m; (sol) 
 - : 4907, 3012s, 949.25hPa, 26.30°C, 549.00m; (sol) 
 - : 4908, 3013s, 949.24hPa, 26.29°C, 549.00m; (sol) 
 - : 4909, 3013s, 949.22hPa, 26.29°C, 549.00m; (sol) 
 - : 4915, 3017s, 949.17hPa, 26.28°C, 549.00m; (sol) 
 - : 4916, 3018s, 949.16hPa, 26.29°C, 549.00m; (sol) 
 - : 4917, 3018s, 949.21hPa, 26.29°C, 549.00m; (sol) 
 - : 4926, 3024s, 934.79hPa, 26.27°C, 680.00m; (sol) 
 - : 4927, 3024s, 929.51hPa, 26.27°C, 726.00m; (sol) 
 - : 4928, 3025s, 923.84hPa, 26.25°C, 779.00m; (sol) 
 - : 4929, 3026s, 917.98hPa, 26.24°C, 836.00m; (sol) 
 - : 4930, 3026s, 912.08hPa, 26.23°C, 884.00m; (sol) 
 - : 4962, 3046s, 889.75hPa, 23.93°C, 1091.00m; (sol) 
 - : 4975, 3054s, 910.24hPa, 22.72°C, 904.00m; (sol) 
 - : 4978, 3056s, 912.80hPa, 22.51°C, 876.00m; (sol) 
 - : 4982, 3058s, 918.13hPa, 22.26°C, 827.00m; (sol) 
 - : 4993, 3065s, 933.14hPa, 21.72°C, 693.00m; (sol) 
 - : 4994, 3066s, 935.33hPa, 21.68°C, 669.00m; (sol) 
 - : 4995, 3066s, 935.96hPa, 21.65°C, 665.00m; (sol) 
 - : 4996, 3067s, 936.89hPa, 21.62°C, 657.00m; (sol) 
 - : 4998, 3068s, 940.29hPa, 21.57°C, 629.00m; (sol) 
 - : 5001, 3070s, 944.17hPa, 21.51°C, 592.00m; (sol) 
