- : 4914, 3016s, 949.19hPa, 26.29°C, 549.00m; (sol) 
 - : 4915, 3017s, 949.17hPa, 26.28°C, 549.00m; (sol) 
 - : 4916, 3018s, 949.16hPa, 26.29°C, 549.00m; (sol) 
 - : 4917, 3018s, 949.21hPa, 26.29°C, 549.00m; (sol) 
 - : 4918, 3019s, 949.15hPa, 26.29°C, 549.00m; (sol) 
 - : 4919, 3020s, 949.17hPa, 26.28°C, 548.00m; (sol) 
 - : 4920, 3020s, 949.19hPa, 26.29°C, 549.00m; (sol) 
 - : 4921, 3021s, 948.84hPa, 26.29°C, 547.00m; (sol) 
 - : 4922, 3021s, 948.32hPa, 26.29°C, 556.00m; (sol) 
 - : 4923, 3022s, 946.51hPa, 26.28°C, 572.00m; (sol) 
 - : 4924, 3023s, 943.64hPa, 26.28°C, 599.00m; (sol) 
 - : 4925, 3023s, 939.36hPa, 26.28°C, 639.00m; (sol) 
 - : 4926, 3024s, 934.79hPa, 26.27°C, 680.00m; (sol) 
 - : 4927, 3024s, 929.51hPa, 26.27°C, 726.00m; (sol) 
 - : 4928, 3025s, 923.84hPa, 26.25°C, 779.00m; (sol) 
 - : 4929, 3026s, 917.98hPa, 26.24°C, 836.00m; (sol) 
 - : 4930, 3026s, 912.08hPa, 26.23°C, 884.00m; (sol) 
 - : 4931, 3027s, 906.33hPa, 26.21°C, 935.00m; (sol) 
 - : 4932, 3027s, 901.10hPa, 26.20°C, 984.00m; (sol) 
 - : 4933, 3028s, 896.50hPa, 26.18°C, 1031.00m; (sol) 
 - : 4934, 3029s, 891.91hPa, 26.16°C, 1078.00m; (sol) 
 - : 4935, 3029s, 887.92hPa, 26.13°C, 1114.00m; (sol) 
 - : 4936, 3030s, 884.12hPa, 26.11°C, 1145.00m; (sol) 
 - : 4937, 3031s, 880.97hPa, 26.09°C, 1176.00m; (sol) 
 - : 4938, 3031s, 878.13hPa, 26.06°C, 1206.00m; (sol) 
 - : 4939, 3032s, 875.36hPa, 26.02°C, 1229.00m; (sol) 
 - : 4940, 3032s, 873.53hPa, 26.01°C, 1246.00m; (sol) 
 - : 4941, 3033s, 872.11hPa, 25.99°C, 1259.00m; (sol) 
 - : 4942, 3034s, 870.92hPa, 25.95°C, 1272.00m; (sol) 
 - : 4943, 3034s, 870.24hPa, 25.94°C, 1279.00m; (sol) 
 - : 4944, 3035s, 869.72hPa, 25.91°C, 1283.00m; (sol) 
 - : 4945, 3036s, 869.95hPa, 25.89°C, 1282.00m; (sol) 
 - : 4946, 3036s, 865.86hPa, 25.79°C, 1321.00m; (sol) 
 - : 4947, 3037s, 868.95hPa, 25.60°C, 1284.00m; (sol) 
 - : 4948, 3037s, 870.39hPa, 25.36°C, 1277.00m; (sol) 
 - : 4949, 3038s, 871.40hPa, 25.30°C, 1268.00m; (sol) 
 - : 4950, 3039s, 872.70hPa, 25.23°C, 1256.00m; (sol) 
 - : 4951, 3039s, 873.66hPa, 25.19°C, 1245.00m; (sol) 
 - : 4952, 3040s, 875.40hPa, 25.12°C, 1224.00m; (sol) 
 - : 4953, 3040s, 877.02hPa, 25.02°C, 1215.00m; (sol) 
 - : 4954, 3041s, 877.86hPa, 24.82°C, 1206.00m; (sol) 
 - : 4955, 3042s, 879.61hPa, 24.73°C, 1181.00m; (sol) 
 - : 4956, 3042s, 880.33hPa, 24.63°C, 1181.00m; (sol) 
 - : 4957, 3043s, 882.18hPa, 24.54°C, 1162.00m; (sol) 
 - : 4958, 3044s, 883.71hPa, 24.39°C, 1152.00m; (sol) 
 - : 4959, 3044s, 885.24hPa, 24.32°C, 1136.00m; (sol) 
 - : 4960, 3045s, 886.53hPa, 24.16°C, 1121.00m; (sol) 
 - : 4961, 3045s, 888.83hPa, 24.03°C, 1103.00m; (sol) 
 - : 4962, 3046s, 889.75hPa, 23.93°C, 1091.00m; (sol) 
 - : 4963, 3047s, 891.74hPa, 23.80°C, 1072.00m; (sol) 
 - : 4964, 3047s, 893.02hPa, 23.70°C, 1061.00m; (sol) 
 - : 4965, 3048s, 894.64hPa, 23.64°C, 1047.00m; (sol) 
 - : 4966, 3049s, 897.91hPa, 23.53°C, 1013.00m; (sol) 
 - : 4967, 3049s, 897.25hPa, 23.38°C, 1022.00m; (sol) 
 - : 4968, 3050s, 898.88hPa, 23.34°C, 1005.00m; (sol) 
 - : 4969, 3050s, 900.38hPa, 23.22°C, 990.00m; (sol) 
 - : 4970, 3051s, 902.08hPa, 23.11°C, 977.00m; (sol) 
 - : 4971, 3052s, 903.86hPa, 23.06°C, 958.00m; (sol) 
 - : 4972, 3052s, 904.95hPa, 22.98°C, 949.00m; (sol) 
 - : 4973, 3053s, 905.75hPa, 22.88°C, 941.00m; (sol) 
 - : 4974, 3053s, 907.94hPa, 22.80°C, 925.00m; (sol) 
 - : 4975, 3054s, 910.24hPa, 22.72°C, 904.00m; (sol) 
 - : 4976, 3055s, 911.02hPa, 22.64°C, 890.00m; (sol) 
 - : 4977, 3055s, 911.78hPa, 22.58°C, 883.00m; (sol) 
 - : 4978, 3056s, 912.80hPa, 22.51°C, 876.00m; (sol) 
 - : 4979, 3056s, 913.49hPa, 22.44°C, 870.00m; (sol) 
 - : 4980, 3057s, 915.25hPa, 22.38°C, 856.00m; (sol) 
 - : 4981, 3058s, 917.23hPa, 22.31°C, 836.00m; (sol) 
 - : 4982, 3058s, 918.13hPa, 22.26°C, 827.00m; (sol) 
 - : 4983, 3059s, 919.19hPa, 22.21°C, 820.00m; (sol) 
 - : 4984, 3060s, 922.06hPa, 22.12°C, 793.00m; (sol) 
 - : 4985, 3060s, 922.42hPa, 22.08°C, 787.00m; (sol) 
 - : 4986, 3061s, 923.93hPa, 22.04°C, 774.00m; (sol) 
 - : 4987, 3061s, 924.69hPa, 21.98°C, 765.00m; (sol) 
 - : 4988, 3062s, 925.62hPa, 21.93°C, 758.00m; (sol) 
 - : 4989, 3063s, 927.33hPa, 21.88°C, 745.00m; (sol) 
 - : 4990, 3063s, 929.52hPa, 21.83°C, 725.00m; (sol) 
 - : 4991, 3064s, 930.60hPa, 21.79°C, 713.00m; (sol) 
 - : 4992, 3064s, 931.48hPa, 21.75°C, 706.00m; (sol) 
 - : 4993, 3065s, 933.14hPa, 21.72°C, 693.00m; (sol) 
 - : 4994, 3066s, 935.33hPa, 21.68°C, 669.00m; (sol) 
 - : 4995, 3066s, 935.96hPa, 21.65°C, 665.00m; (sol) 
