 - : 1, 0s, 776.79hPa, 20.03°C, 547.00m; (sol) 
 - : 2, 1s, 949.43hPa, 26.73°C, 546.00m; (sol) 
 - : 4, 2s, 949.53hPa, 26.72°C, 546.00m; (sol) 
 - : 5, 3s, 949.56hPa, 26.72°C, 545.00m; (sol) 
 - : 6, 3s, 949.54hPa, 26.70°C, 546.00m; (sol) 
 - : 7, 4s, 949.50hPa, 26.71°C, 546.00m; (sol) 
 - : 9, 5s, 949.53hPa, 26.72°C, 546.00m; (sol) 
 - : 10, 6s, 949.62hPa, 26.72°C, 545.00m; (sol) 
 - : 11, 7s, 949.50hPa, 26.71°C, 545.00m; (sol) 
 - : 12, 7s, 949.47hPa, 26.71°C, 546.00m; (sol) 
 - : 13, 8s, 949.53hPa, 26.72°C, 546.00m; (sol) 
 - : 14, 8s, 949.53hPa, 26.68°C, 546.00m; (sol) 
 - : 15, 9s, 949.37hPa, 26.67°C, 547.00m; (sol) 
 - : 16, 10s, 949.31hPa, 26.66°C, 547.00m; (sol) 
 - : 17, 10s, 949.26hPa, 26.63°C, 548.00m; (sol) 
 - : 18, 11s, 949.33hPa, 26.66°C, 547.00m; (sol) 
 - : 19, 11s, 949.38hPa, 26.65°C, 548.00m; (sol) 
 - : 20, 12s, 949.39hPa, 26.66°C, 547.00m; (sol) 
 - : 21, 13s, 949.31hPa, 26.68°C, 547.00m; (sol) 
 - : 22, 13s, 949.42hPa, 26.70°C, 547.00m; (sol) 
 - : 23, 14s, 949.35hPa, 26.69°C, 548.00m; (sol) 
 - : 24, 15s, 949.39hPa, 26.66°C, 547.00m; (sol) 
 - : 25, 15s, 949.31hPa, 26.66°C, 548.00m; (sol) 
 - : 26, 16s, 949.44hPa, 26.63°C, 547.00m; (sol) 
 - : 27, 16s, 949.71hPa, 26.58°C, 544.00m; (sol) 
 - : 29, 18s, 949.60hPa, 26.78°C, 545.00m; (sol) 
 - : 30, 18s, 949.92hPa, 26.88°C, 542.00m; (sol) 
 - : 31, 19s, 949.93hPa, 26.87°C, 543.00m; (sol) 
 - : 32, 19s, 949.76hPa, 26.91°C, 544.00m; (sol) 
