 - : 1, 0s, 949.59hPa, 26.99°C, 545.00m; (sol) 
 - : 2, 1s, 949.69hPa, 26.77°C, 545.00m; (sol) 
 - : 3, 1s, 949.63hPa, 26.77°C, 545.00m; (sol) 
 - : 4, 2s, 949.61hPa, 26.75°C, 545.00m; (sol) 
 - : 5, 2s, 949.60hPa, 26.74°C, 545.00m; (sol) 
 - : 1, 0s, 949.61hPa, 26.73°C, 546.00m; (sol) 
 - : 2, 1s, 949.48hPa, 26.74°C, 546.00m; (sol) 
 - : 3, 1s, 949.56hPa, 26.72°C, 546.00m; (sol) 
 - : 4, 2s, 949.44hPa, 26.70°C, 546.00m; (sol) 
 - : 5, 2s, 949.44hPa, 26.70°C, 546.00m; (sol) 
 - : 6, 3s, 949.54hPa, 26.70°C, 545.00m; (sol) 
 - : 1, 0s, 776.79hPa, 20.03°C, 546.00m; (sol) 
 - : 2, 1s, 949.55hPa, 26.27°C, 545.00m; (sol) 
 - : 3, 2s, 949.50hPa, 26.25°C, 546.00m; (sol) 
 - : 4, 2s, 949.55hPa, 26.25°C, 546.00m; (sol) 
 - : 5, 3s, 949.53hPa, 26.23°C, 545.00m; (sol) 
 - : 6, 3s, 949.43hPa, 26.21°C, 546.00m; (sol) 
 - : 7, 4s, 949.46hPa, 26.20°C, 545.00m; (sol) 
 - : 8, 5s, 949.53hPa, 26.21°C, 546.00m; (sol) 
 - : 9, 5s, 949.58hPa, 26.21°C, 546.00m; (sol) 
 - : 10, 6s, 949.56hPa, 26.23°C, 545.00m; (sol) 
 - : 11, 6s, 949.46hPa, 26.22°C, 546.00m; (sol) 
 - : 12, 7s, 949.55hPa, 26.23°C, 546.00m; (sol) 
 - : 13, 8s, 949.54hPa, 26.24°C, 545.00m; (sol) 
 - : 14, 8s, 949.58hPa, 26.25°C, 546.00m; (sol) 
 - : 15, 9s, 949.49hPa, 26.25°C, 546.00m; (sol) 
 - : 16, 10s, 949.46hPa, 26.25°C, 546.00m; (sol) 
 - : 17, 10s, 949.42hPa, 26.26°C, 546.00m; (sol) 
 - : 18, 11s, 949.60hPa, 26.26°C, 545.00m; (sol) 
 - : 19, 11s, 949.56hPa, 26.25°C, 545.00m; (sol) 
 - : 20, 12s, 949.59hPa, 26.27°C, 545.00m; (sol) 
 - : 21, 13s, 949.61hPa, 26.27°C, 545.00m; (sol) 
 - : 22, 13s, 949.62hPa, 26.28°C, 545.00m; (sol) 
 - : 23, 14s, 949.55hPa, 26.28°C, 545.00m; (sol) 
 - : 24, 14s, 949.61hPa, 26.29°C, 546.00m; (sol) 
 - : 25, 15s, 949.56hPa, 26.29°C, 545.00m; (sol) 
 - : 26, 16s, 949.57hPa, 26.30°C, 545.00m; (sol) 
 - : 27, 16s, 949.57hPa, 26.30°C, 545.00m; (sol) 
 - : 28, 17s, 949.47hPa, 26.29°C, 545.00m; (sol) 
 - : 29, 17s, 949.42hPa, 26.29°C, 546.00m; (sol) 
 - : 30, 18s, 949.44hPa, 26.29°C, 547.00m; (sol) 
 - : 31, 19s, 949.45hPa, 26.30°C, 545.00m; (sol) 
 - : 32, 19s, 949.47hPa, 26.29°C, 545.00m; (sol) 
 - : 33, 20s, 949.55hPa, 26.28°C, 546.00m; (sol) 
 - : 34, 20s, 949.57hPa, 26.30°C, 546.00m; (sol) 
 - : 35, 21s, 949.49hPa, 26.30°C, 546.00m; (sol) 
 - : 36, 22s, 949.47hPa, 26.29°C, 546.00m; (sol) 
 - : 37, 22s, 949.49hPa, 26.30°C, 546.00m; (sol) 
 - : 38, 23s, 949.47hPa, 26.31°C, 546.00m; (sol) 
